State & District,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
"district_code:152, state_name:UTTAR PRADESH, district_name:Shahjahanpur",3006538,1606403,1400135,1490930,915142,575788,532673,285280,247393,508,259,249,892214,783313,108901,699503,192711,2114324,344973,275192,31141,240908,2412595,527581,4630,51090,2312,301,84,7945,91958,115163,3889,27533,520289,134714,655003,451571,476064,315873,158430,96308,87355,8885,1594486,1324615,2919101,1961237,652237,368743
"district_code:153, state_name:UTTAR PRADESH, district_name:Kheri",4021243,2123187,1898056,2034044,1237157,796887,1061782,559240,502542,53375,26984,26391,1264718,1058483,206235,958249,306469,2756525,529223,422142,47837,265516,3078262,807600,7502,94388,18454,487,226,14324,86948,122761,3402,29252,754938,107672,862610,717340,621684,442748,223669,129627,128548,10846,2274462,1833578,4108040,2582597,896611,510832
"district_code:154, state_name:UTTAR PRADESH, district_name:Sitapur",4483992,2375264,2108728,2283733,1397702,886031,1446427,767033,679394,1602,833,769,1422602,1171252,251350,1023642,398960,3061390,571097,473554,70971,306980,3555450,893725,6579,11611,2663,1410,79,12475,74072,102040,3874,34609,827583,111319,938902,714304,656401,482220,221898,136383,127750,8775,2347731,2141696,4489427,2862383,1000987,588318
"district_code:155, state_name:UTTAR PRADESH, district_name:Hardoi",4092845,2191442,1901403,2221601,1374587,847014,1274505,685223,589282,349,186,163,1318946,1091952,226994,969871,349075,2773899,596813,406830,59649,255654,3508131,556219,5822,5688,6671,446,98,9770,60689,95508,3845,32065,786613,121064,907677,741817,906861,510507,247265,138583,103523,9048,2657604,1481604,4139208,2598364,905306,559988
"district_code:156, state_name:UTTAR PRADESH, district_name:Unnao",3108367,1630087,1478280,1773584,1053063,720521,948588,494487,454101,2926,1558,1368,1124744,851014,273730,761831,362913,1983623,450123,332663,49243,292715,2732016,363453,3574,1204,920,240,31,6929,70484,99466,3476,28719,596317,121039,717356,501457,512965,415378,240024,136688,101934,7173,1915619,1130103,3045722,1893706,706851,453462
"district_code:157, state_name:UTTAR PRADESH, district_name:Lucknow",4589838,2394476,2195362,3127260,1742440,1384820,948294,498799,449495,7506,4036,3470,1542806,1226399,316407,1152285,390521,3047032,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,504,13249,469747,582769,68506,152257,344155,717566,1061721,489898,554301,552171,428121,378742,639260,52132,3094625,1146880,4241505,2678289,1161686,685258
"district_code:158, state_name:UTTAR PRADESH, district_name:Rae Bareli",3405559,1752542,1653017,1965843,1165965,799878,1030367,526735,503632,1756,876,880,1204710,867393,337317,644869,559841,2200849,316891,507882,60774,319163,2975998,413243,3634,2424,722,397,602,8539,65080,247856,5184,34788,705025,73393,778418,540661,538301,477689,270775,182823,153041,15662,2178952,1286726,3465678,2116007,776583,506583
"district_code:159, state_name:UTTAR PRADESH, district_name:Farrukhabad",1885204,1006240,878964,1092677,654827,437850,312712,168009,144703,230,124,106,592267,494545,97722,474686,117581,1292937,245089,135679,43528,167971,1596278,276846,3137,3160,3161,487,100,2035,59209,88081,2624,18733,316647,94843,411490,270550,330084,257279,184298,115069,110391,9368,1277039,710960,1987999,1224584,411153,246795
"district_code:160, state_name:UTTAR PRADESH, district_name:Kannauj",1656616,881776,774840,1017087,603596,413491,309980,166454,143526,15,9,6,524676,430934,93742,419027,105649,1131940,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,65,2390,32510,61491,2488,18082,299785,65985,365770,237853,283674,263749,175582,107628,95072,7194,1170752,543034,1713786,1069916,361028,223535
"district_code:161, state_name:UTTAR PRADESH, district_name:Etawah",1581810,845856,735954,1062003,623583,438420,388283,208731,179552,169,89,80,506072,413713,92359,361588,144484,1075738,170827,158026,20803,156416,1457892,113961,1362,1045,1733,3917,94,1806,47520,113098,2964,21506,265643,85483,351126,171216,292852,298700,195192,121283,118571,13400,1211214,397708,1608922,979633,362026,237786
"district_code:162, state_name:UTTAR PRADESH, district_name:Auraiya",1379545,740040,639505,930836,546198,384638,391622,211413,180209,150,91,59,442023,364543,77480,325721,116302,937522,166731,151727,12533,111032,1273546,101963,1004,371,332,228,444,1657,32687,65479,2404,14279,255836,58438,314274,133123,291837,282449,168866,101542,79012,6531,1063360,276224,1339584,856336,320763,202054
"district_code:163, state_name:UTTAR PRADESH, district_name:Kanpur Dehat",1796184,963255,832929,1170243,692964,477279,460544,248195,212349,801,398,403,628864,493991,134873,448651,180213,1167320,224986,234069,20783,149026,1612968,176327,1300,478,819,155,103,4034,23831,49753,2682,25354,363933,41323,405256,235341,344866,341845,223529,157167,97740,5930,1406418,475166,1881584,1100820,415918,276272
"district_code:164, state_name:UTTAR PRADESH, district_name:Kanpur Nagar",4581268,2459806,2121462,3243022,1829179,1413843,816754,439603,377151,3753,2108,1645,1572232,1299871,272361,1229166,343066,3009036,198547,258790,68738,1046157,3792174,720660,15751,29676,2733,5710,589,13975,421694,517271,33966,93296,364869,684906,1049775,338620,766906,794860,651228,515772,396565,26827,3490778,676306,4167084,2630411,1209554,731795
"district_code:165, state_name:UTTAR PRADESH, district_name:Jalaun",1689974,906092,783882,1075196,653430,421766,468178,252588,215590,832,428,404,620764,470969,149795,420266,200498,1069210,196613,243035,26109,155007,1509708,171581,1148,463,2875,256,145,3798,42616,104176,2217,18615,304856,91565,396421,169207,327534,282919,167911,104699,106888,10399,1169557,461666,1631223,1002817,410090,274954
"district_code:166, state_name:UTTAR PRADESH, district_name:Jhansi",1998603,1057436,941167,1304513,783705,520808,562505,297386,265119,3873,2074,1799,814914,565357,249557,560041,254873,1183689,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,311,5988,94342,183340,8517,40774,309592,195321,504913,184997,370685,341371,186348,99814,92586,11783,1287584,483088,1770672,1171301,510728,308331
"district_code:167, state_name:UTTAR PRADESH, district_name:Lalitpur",1221592,641011,580581,641191,397586,243605,240519,126325,114194,71610,36834,34776,503351,326783,176568,357033,146318,718241,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,41,1179,20720,77082,1079,9906,258013,43819,301832,185575,202692,154118,61543,32237,34658,3535,674358,509536,1183894,793551,265080,159666
"district_code:168, state_name:UTTAR PRADESH, district_name:Hamirpur",1104285,593537,510748,653299,408125,245174,241198,130269,110929,474,259,215,443655,308527,135128,290375,153280,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768,660774,260368,181109
"district_code:169, state_name:UTTAR PRADESH, district_name:Mahoba",875958,466358,409600,488106,302283,185823,220898,117389,103509,647,355,292,349676,237153,112523,238712,110964,526282,114244,130422,13523,91487,815142,57454,965,389,94,234,157,1523,12874,42936,1316,11298,198298,48525,246823,119002,141201,131165,60400,33810,37165,3926,526669,403649,930318,527067,201394,137393
"district_code:170, state_name:UTTAR PRADESH, district_name:Banda",1799410,965876,833534,1002937,630626,372311,387855,208184,179671,163,82,81,701689,485314,216375,483232,218457,1097721,251755,273458,19098,157378,1637549,157612,1367,231,168,916,50,1517,26907,73522,1655,18612,378056,67569,445625,325773,415195,249238,114783,61702,63112,5728,1235531,588025,1823556,1120432,408527,265310
"district_code:171, state_name:UTTAR PRADESH, district_name:Chitrakoot",991730,527721,464009,531072,330339,200733,266655,141379,125276,366,196,170,394197,254977,139220,282614,111583,597533,160094,150695,12555,70853,955372,34559,693,63,101,285,27,630,11637,41046,827,9437,207237,23558,230795,168472,174106,124256,69641,40266,35826,3660,616227,383908,1000135,638046,214228,136669
"district_code:172, state_name:UTTAR PRADESH, district_name:Fatehpur",2632733,1384722,1248011,1512166,911003,601163,651480,342892,308588,340,189,151,1063929,713736,350193,670156,393773,1568804,328758,425366,51555,258250,2274674,350700,2201,402,172,199,47,4338,43492,75263,3385,33501,558807,77733,636540,409875,463642,376472,227119,134445,116445,10212,1738210,895178,2633388,1624830,603831,395547
"district_code:173, state_name:UTTAR PRADESH, district_name:Pratapgarh",3209141,1606085,1603056,1931559,1121381,810178,709252,351054,358198,723,380,343,1066601,704569,362032,553013,513588,2142540,305746,386563,68642,305650,2731351,452394,3920,1451,7795,746,43,11441,46358,140538,5149,34400,711085,41701,752786,427626,558350,456752,332742,238011,197846,20047,2231374,1059636,3291010,2002569,703727,492097
"district_code:174, state_name:UTTAR PRADESH, district_name:Kaushambi",1599596,838485,761111,813424,507279,306145,555397,291303,264094,193,102,91,639086,402644,236442,415312,223774,960510,141102,321410,30491,146083,1372381,220423,2225,522,687,545,3,2810,22034,43753,1503,15029,349856,30764,380620,184229,253910,180825,146757,89011,45341,5115,905188,670750,1575938,1034099,336401,210556
"district_code:175, state_name:UTTAR PRADESH, district_name:Allahabad",5954391,3131807,2822584,3665727,2199340,1466387,1309851,687076,622775,7955,4270,3685,2111907,1426110,685797,1286732,825175,3842484,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,305,30492,204357,391542,24122,85491,983266,265304,1248570,823863,934881,738076,596615,502826,428871,36764,4061896,1756098,5817994,3764404,1335224,818137
"district_code:176, state_name:UTTAR PRADESH, district_name:Bara Banki",3260699,1707073,1553626,1692458,1010518,681940,864559,453168,411391,610,333,277,1192850,871241,321609,834294,358556,2067849,458479,421973,77235,235163,2505444,737106,4857,2090,1553,3016,211,6422,60554,108116,3159,26293,635840,79068,714908,533140,420824,350564,197780,132332,113799,12281,1760720,1540841,3301561,2043335,709494,445269
"district_code:177, state_name:UTTAR PRADESH, district_name:Faizabad",2470996,1259628,1211368,1450901,838339,612562,555047,281284,273763,931,469,462,831209,597888,233321,496579,334630,1639787,260406,272734,43505,254564,2094271,365806,3225,1912,737,358,185,4502,58328,127754,4746,28625,510378,79288,589666,356093,361114,347114,231129,176303,179996,18947,1670696,981915,2652611,1534832,543148,367332
"district_code:178, state_name:UTTAR PRADESH, district_name:Ambedkar Nagar",2397888,1212410,1185478,1486939,846676,640263,591125,298240,292885,746,406,340,787398,547406,239992,440998,346400,1610490,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,33,5066,21512,99581,2509,27308,501559,65031,566590,342667,392873,353570,247028,172872,194387,15458,1718855,813502,2532357,1499494,515229,367234
"district_code:179, state_name:UTTAR PRADESH, district_name:Sultanpur",3797117,1914586,1882531,2239902,1300248,939654,851587,431438,420149,696,358,338,1242632,869838,372794,690967,551665,2554485,338890,501634,85785,316323,3119590,650261,4453,1629,9989,426,336,10433,55055,233701,5956,44008,839737,49891,889628,460210,637015,526973,306046,188848,176414,15277,2310783,1118891,3429674,2376875,828222,580164
"district_code:180, state_name:UTTAR PRADESH, district_name:Bahraich",3487731,1843884,1643847,1398368,878285,520083,509307,270226,239081,11159,5606,5553,1152160,895576,256584,743452,408708,2335571,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38,7889,38940,85814,2681,35463,698520,61742,760262,447648,493760,215939,104762,65106,47690,7028,1381933,1920966,3302899,2275746,754346,446242
"district_code:181, state_name:UTTAR PRADESH, district_name:Shrawasti",1117361,593897,523464,423313,276700,146613,189334,101785,87549,5534,2889,2645,403755,293981,109774,232762,170993,713606,163449,165118,18494,56694,768643,343981,1427,407,323,68,56,2456,4828,20419,624,10074,248770,8504,257274,155698,97160,56242,29567,19744,15648,1535,375594,701550,1077144,723443,245098,143979
"district_code:182, state_name:UTTAR PRADESH, district_name:Balrampur",2148665,1114721,1033944,868357,544943,323414,277212,145928,131284,24887,12657,12230,760253,534332,225921,458727,301526,1388412,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,87,3169,16229,57400,1551,15510,410070,35768,445838,379253,227932,122911,65516,40633,37109,2777,876131,1332817,2208948,1415213,442339,283947
"district_code:183, state_name:UTTAR PRADESH, district_name:Gonda",3433919,1787146,1646773,1679994,1034181,645813,531973,276656,255317,870,476,394,1170552,855848,314704,739663,430889,2263367,440340,431532,65299,233381,2739076,678615,4735,1893,649,338,57,8556,45517,104084,4313,31811,673578,52794,726372,678171,425584,305644,192664,144067,118176,8722,1873028,1620782,3493810,2223078,734903,464584
"district_code:184, state_name:UTTAR PRADESH, district_name:Siddharthnagar",2559297,1295095,1264202,1228926,740718,488208,408763,208990,199773,12021,6087,5934,878898,583633,295265,447943,430955,1680399,298360,395993,35756,148789,1789704,748073,3042,681,11964,179,356,5298,25883,93088,2434,24662,480165,33348,513513,676987,335977,204260,110056,73465,56516,10526,1467787,1217027,2684814,1690396,504002,359977
"district_code:185, state_name:UTTAR PRADESH, district_name:Basti",2464464,1255272,1209192,1393783,819719,574064,513959,262534,251425,3620,1876,1744,783688,558642,225046,443724,339964,1680776,296928,282260,36856,167644,2082976,364510,3493,900,9753,107,99,2626,37593,108101,3423,30244,513960,31065,545025,470355,349221,324085,211477,162961,143642,13030,1674771,1021192,2695963,1574037,519265,363891
"district_code:186, state_name:UTTAR PRADESH, district_name:Sant Kabir Nagar",1715183,869656,845527,954949,567098,387851,369039,187413,181626,1593,823,770,539469,383482,155987,265453,274016,1175714,149604,241825,28884,119156,1300586,404410,1766,447,4393,95,35,3451,17671,79525,2031,19729,324972,27179,352151,341757,290532,205875,129442,86528,63506,8882,1126522,683053,1809575,1108368,352395,250502
"district_code:187, state_name:UTTAR PRADESH, district_name:Mahrajganj",2684703,1381754,1302949,1419144,881674,537470,492976,254426,238550,16435,8361,8074,994253,659465,334788,439293,554960,1690450,229847,532486,43015,188905,2196884,458650,3527,1381,16030,243,338,7650,23647,91844,2694,27339,573046,34033,607079,456350,388464,308064,185236,129222,95863,11219,1574418,1252595,2827013,1694493,595114,370573
"district_code:188, state_name:UTTAR PRADESH, district_name:Gorakhpur",4440895,2277777,2163118,2700328,1593890,1106438,936061,481123,454938,18172,9261,8911,1351629,1016876,334753,746381,605248,3089266,255660,454931,82965,558073,4009037,403847,9662,2123,2848,460,207,12711,149727,296619,14597,65360,761958,189170,951128,873031,618398,560246,425913,316166,273903,36253,3103910,1453960,4557870,2755630,992114,659677
"district_code:189, state_name:UTTAR PRADESH, district_name:Kushinagar",3564544,1818055,1746489,1954820,1183722,771098,544231,278947,265284,80269,41003,39266,1116973,804857,312116,523258,593715,2447571,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,133,4930,29304,127331,3486,35931,742324,42775,785099,836856,424892,367405,249265,170911,119625,11970,2180924,1550315,3731239,2236842,772777,500373
"district_code:190, state_name:UTTAR PRADESH, district_name:Deoria",3100946,1537436,1563510,1875239,1079288,795951,468663,235694,232969,109894,54216,55678,876246,639073,237173,455382,420864,2224700,238237,291016,50418,296575,2730957,358539,3626,818,1182,209,146,5469,60348,150001,4469,36068,597778,67928,665706,602403,473097,449571,372031,277548,194341,23334,2392325,1130108,3522433,1946336,664708,481219
"district_code:191, state_name:UTTAR PRADESH, district_name:Azamgarh",4613913,2285004,2328909,2771917,1559414,1212503,1171378,579586,591792,9327,4690,4637,1372032,941890,430142,784272,587760,3241881,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,226,6005,49699,183381,6652,47324,891024,80434,971458,831966,1344726,879745,489060,312571,158303,8087,4024458,1218146,5242604,2930243,965876,699954
"district_code:192, state_name:UTTAR PRADESH, district_name:Mau",2205968,1114709,1091259,1363044,773082,589962,474537,241498,233039,22915,11464,11451,696747,475413,221334,396438,300309,1509221,145225,212343,118614,220565,1769937,428555,2109,340,564,155,129,4179,40087,149908,2656,26716,352207,99321,451528,344570,410737,320743,256784,209493,150462,15771,1708560,659237,2367797,1402738,467343,323260
"district_code:193, state_name:UTTAR PRADESH, district_name:Ballia",3239774,1672902,1566872,1963590,1160960,802630,494698,257624,237074,110114,56817,53297,1019483,723060,296423,569522,449961,2220291,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,64,14847,62157,119972,4672,42969,564927,64454,629381,436021,515010,443440,409484,323582,200434,20283,2348254,1032533,3380787,1975934,724362,502628
"district_code:194, state_name:UTTAR PRADESH, district_name:Jaunpur",4494204,2220465,2273739,2731677,1565394,1166283,990345,494226,496119,4736,2363,2373,1437375,934157,503218,896547,540828,3056829,540762,436792,88404,371417,3981502,483750,4947,1286,7898,349,114,14358,56508,181467,8002,52398,926088,80582,1006670,665376,939616,769693,520111,353996,256398,25909,3531099,1344789,4875888,2826453,927026,689979
"district_code:195, state_name:UTTAR PRADESH, district_name:Ghazipur",3620268,1855075,1765193,2197549,1293553,903996,726641,375015,351626,28712,14664,14048,1204602,808700,395902,766881,437721,2415666,368943,435934,68254,331471,3233790,368153,4181,810,3145,213,184,9792,36798,105767,5309,50180,700173,61467,761640,566504,691057,563310,449909,334003,186306,12795,2803884,1008996,3812880,2234593,774130,556273
"district_code:196, state_name:UTTAR PRADESH, district_name:Chandauli",1952756,1017905,934851,1174606,699454,475152,446786,235161,211625,41725,21571,20154,652543,462971,189572,341927,310616,1300213,125980,248674,58552,219337,1727869,215081,2153,1389,340,100,1175,4649,32433,99602,3492,20762,344937,50822,395759,295979,367768,276638,196240,135962,88299,7586,1368472,543247,1911719,1222695,437000,287767
"district_code:197, state_name:UTTAR PRADESH, district_name:Varanasi",3676841,1921857,1754984,2403903,1389116,1014787,486958,256483,230475,28617,14992,13625,1220708,921234,299474,920761,299947,2456133,197952,182146,168764,671846,3107681,546987,7696,3309,1146,1898,298,7826,202055,336056,19214,57583,438935,316129,755064,467782,608174,557052,447926,351391,281652,34841,2748818,906367,3655185,2260457,856070,531549
"district_code:198, state_name:UTTAR PRADESH, district_name:Sant Ravidas Nagar (Bhadohi)",1578213,807099,771114,910146,546782,363364,353103,182617,170486,1873,986,887,470608,343155,127453,286978,183630,1107605,94402,104419,62665,209122,1368291,203887,1365,199,1562,161,7,2741,23178,83220,2896,16198,293510,45997,339507,257527,291926,232072,167524,120944,86533,10304,1166830,552958,1719788,1032294,331743,209920
"district_code:199, state_name:UTTAR PRADESH, district_name:Mirzapur",2496970,1312302,1184668,1428683,865837,562846,661129,347436,313693,20132,10480,9652,881996,613061,268935,537091,344905,1614974,178132,334372,80246,289246,2292534,195765,2373,1133,341,701,27,4096,43500,145997,4447,24518,465152,77963,543115,361642,421577,340261,232189,177109,140668,17680,1691126,868542,2559668,1590528,552177,346773
"district_code:200, state_name:UTTAR PRADESH, district_name:Sonbhadra",1862559,971344,891215,985708,601988,383720,421661,218996,202665,385018,197825,187193,730399,463611,266788,397196,333203,1132160,141007,371261,29417,188714,1738769,103567,3963,1649,1747,487,1907,10470,40467,95582,5149,25220,337048,91040,428088,306218,297226,212565,120822,82614,63846,9357,1092648,745126,1837774,1203938,418914,237866
"district_code:201, state_name:UTTAR PRADESH, district_name:Etah",1774480,947339,827141,1055202,647042,408160,281011,150631,130380,140,87,53,545984,440244,105740,415476,130508,1228496,242396,131779,28396,143413,1611126,146346,2464,708,2887,5671,18,5260,37027,69591,2635,19712,334246,67752,401998,238019,214091,201984,178434,119665,88607,8092,1048892,718310,1767202,1149372,383707,237427
"district_code:202, state_name:UTTAR PRADESH, district_name:Kanshiram Nagar",1436719,764165,672554,724850,452803,272047,254299,135812,118487,150,80,70,472765,375213,97552,354257,118508,963954,229088,107094,22492,114091,1211427,213822,1969,2280,3907,313,72,2929,26849,50405,1623,13109,271234,72490,343724,256688,193410,150247,108558,61662,48079,4981,823625,648166,1471791,946320,301252,183434
"district_code:203, state_name:BIHAR, district_name:Pashchim Champaran",3935042,2061110,1873932,1759481,1091226,668255,553944,289191,264753,250046,127680,122366,1478947,999282,479665,797544,681403,2456095,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,9602,38414,57546,3495,41143,839514,96620,936134,1053481,543965,250243,159563,98732,70669,6035,2182688,1710878,3893566,2544205,888205,497793
"district_code:204, state_name:BIHAR, district_name:Purba Champaran",5099371,2681209,2418162,2276957,1407603,869354,649726,340363,309363,12461,6454,6007,1737539,1260774,476765,1132789,604750,3361832,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,15590,52358,74979,7719,70258,1142260,101565,1243825,1280809,982506,450631,241118,121594,68781,5149,3150588,2142757,5293345,3316422,1122340,648009
"district_code:205, state_name:BIHAR, district_name:Sheohar",656246,346673,309573,283698,171645,112053,96655,51089,45566,318,177,141,216372,166693,49679,137804,78568,439874,38727,136334,9119,32192,552492,99342,522,216,73,52,44,3505,3983,10004,478,6698,158484,7516,166000,128209,91277,37063,25657,16031,10091,661,308989,348078,657067,421241,139909,93398
"district_code:206, state_name:BIHAR, district_name:Sitamarhi",3423574,1803252,1620322,1436794,885188,551606,405714,213624,192090,2989,1585,1404,1114583,865929,248654,753645,360938,2308991,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,7543,39465,66263,3460,42461,807294,49670,856964,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,3488656,2206340,739982,449035
"district_code:207, state_name:BIHAR, district_name:Madhubani",4487379,2329313,2158066,2155338,1340085,815253,587158,303389,283769,3990,2056,1934,1636938,1105947,530991,1074091,562847,2850441,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,11534,47090,113281,5319,65548,1047552,41234,1088786,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,4702068,2860455,1009424,611899
"district_code:208, state_name:BIHAR, district_name:Supaul",2229076,1155283,1073793,1033283,647672,385611,354249,182545,171704,10168,5242,4926,877682,551718,325964,472649,405033,1351394,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,5136,12111,51028,1845,25078,572287,27815,600102,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,2336331,1453438,495020,277610
"district_code:209, state_name:BIHAR, district_name:Araria",2811569,1463333,1348236,1195768,727643,468125,382654,198247,184407,38848,19887,18961,1069893,708391,361502,696410,373483,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955,17004,43290,2561,29796,659061,44213,703274,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,3139606,1872943,612012,324091
"district_code:210, state_name:BIHAR, district_name:Kishanganj",1690400,866970,823430,745056,439921,305135,113118,57964,55154,64224,32506,31718,529064,421192,107872,384416,144648,1161336,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,2201,11715,58718,1093,14073,401793,43357,445150,356401,235779,89025,42778,25989,15386,3761,769119,945397,1714516,1139615,361114,188447
"district_code:211, state_name:BIHAR, district_name:Purnia",3264619,1699370,1565249,1332326,805261,527065,390991,203201,187790,139490,71391,68099,1143318,803275,340043,776385,366933,2121301,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,8502,33688,86058,4170,33664,712847,85749,798596,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,3285643,2155512,696556,372692
"district_code:212, state_name:BIHAR, district_name:Katihar",3071029,1600430,1470599,1280190,762256,517934,263100,136429,126671,179971,92190,87781,1013566,760522,253044,667602,345964,2057463,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,6522,32570,60900,2941,27263,668232,69838,738070,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,3150989,2054202,660403,353483
"district_code:213, state_name:BIHAR, district_name:Madhepura",2001762,1047559,954203,834577,517666,316911,346275,179337,166938,12532,6442,6090,777546,496046,281500,443507,334039,1224216,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,4387,12302,23236,1397,23309,486278,24000,510278,340813,189431,114474,99437,79891,44955,6509,875510,1202278,2077788,1311771,444235,242382
"district_code:214, state_name:BIHAR, district_name:Saharsa",1900661,997174,903487,804996,506374,298622,317249,164518,152731,6009,3101,2908,649898,456724,193174,363326,286572,1250763,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,3121,21651,41342,1668,19415,432651,38046,470697,348300,194897,104182,90182,64560,47051,6016,855188,1151349,2006537,1249692,415863,233870
"district_code:215, state_name:BIHAR, district_name:Darbhanga",3937385,2059949,1877436,1816634,1125566,691068,615688,322327,293361,2772,1361,1411,1223640,947927,275713,731347,492293,2713745,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,8232,59510,127442,6280,53205,907174,95539,1002713,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,4231743,2535344,865971,529314
"district_code:216, state_name:BIHAR, district_name:Muzaffarpur",4801062,2527497,2273565,2509232,1487117,1022115,751975,393135,358840,5979,3124,2855,1547586,1195308,352278,910304,637282,3253476,273436,769001,65253,439896,4032773,745546,5149,933,288,382,98,15893,87796,180651,10290,73012,998694,120700,1119394,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,4828232,3016735,1079189,697108
"district_code:217, state_name:BIHAR, district_name:Gopalganj",2562012,1267666,1294346,1382998,793905,589093,320064,159265,160799,60807,29833,30974,728201,539586,188615,363111,365090,1833811,208959,338666,26049,154527,2119262,436057,2463,271,167,133,28,3631,31193,69375,3707,33596,515925,38133,554058,540603,470828,291624,223776,123249,79109,7690,1736879,977719,2714598,1642807,546202,370662
"district_code:218, state_name:BIHAR, district_name:Siwan",3330464,1675090,1655374,1930175,1115906,814269,386685,195965,190720,87000,43472,43528,932416,730396,202020,462104,470312,2398048,264928,376344,31244,259900,2712635,608282,2618,369,407,359,86,5708,42384,52935,3834,37833,632514,41858,674372,689880,612635,445257,355277,186817,119164,12091,2421121,1207119,3628240,2115448,713597,498299
"district_code:219, state_name:BIHAR, district_name:Saran",3951862,2022821,1929041,2157454,1285767,871687,474066,242976,231090,36786,18322,18464,1040231,857660,182571,545520,494711,2911631,232097,493461,42103,272570,3534772,406449,2330,371,229,322,107,7282,51822,94787,4509,37442,701323,76299,777622,793945,693465,433759,361171,213251,148065,9848,2653504,1313700,3967204,2516115,847031,585386
"district_code:220, state_name:BIHAR, district_name:Vaishali",3495021,1844535,1650486,1926740,1152576,774164,738031,387827,350204,2274,1232,1042,1060344,858648,201696,716006,344338,2434677,255017,502637,36958,265732,3152346,333980,2203,707,362,246,71,5106,47300,70001,4810,39564,699317,51494,750811,810191,487594,370247,291392,178320,124448,9094,2271286,1479152,3750438,2176701,759132,486032
"district_code:221, state_name:BIHAR, district_name:Samastipur",4261566,2230003,2031563,2142880,1293575,849305,803128,417944,385184,1884,975,909,1343400,1037576,305824,907433,435967,2918166,299039,721629,47917,274815,3800598,452370,2126,554,292,231,112,5283,46123,88021,5379,50918,1012979,43486,1056465,781038,710468,438908,284082,186153,129933,19126,2549708,1996651,4546359,2766930,913339,568812
"district_code:222, state_name:BIHAR, district_name:Begusarai",2970541,1567660,1402881,1548673,918507,630166,432270,227481,204789,1597,848,749,938182,715345,222837,591811,346371,2032359,146035,430870,58167,303110,2554330,407348,2209,402,229,276,57,5690,49493,120373,4644,43127,594377,139248,733625,577601,484502,291877,207136,144783,101836,14599,1822334,1242551,3064885,1951688,644874,369996
"district_code:223, state_name:BIHAR, district_name:Khagaria",1666886,883786,783100,768028,461153,306875,247161,130191,116970,675,352,323,560805,398216,162589,306283,254522,1106081,104517,325731,20816,109741,1486989,175588,1253,143,79,86,115,2633,15401,40641,1580,21654,373696,21007,394703,350601,233494,130004,100555,65931,38697,5969,925251,903323,1828574,1114645,355531,195796
